type,size,algorithm,threshold,time
reverse,9000,hybrid,10,847
reverse,9000,hybrid,20,559
reverse,9000,hybrid,30,598
reverse,9000,hybrid,50,574
reverse,9500,hybrid,5,1181
reverse,9500,hybrid,10,857
reverse,9500,hybrid,20,598
reverse,9500,hybrid,30,625
reverse,9500,hybrid,50,644
reverse,10000,hybrid,5,1237
reverse,10000,hybrid,10,925
reverse,10000,hybrid,20,637
reverse,10000,hybrid,30,624
reverse,10000,hybrid,50,658
almost_sorted,500,hybrid,5,33
almost_sorted,500,hybrid,10,22
almost_sorted,500,hybrid,20,20
almost_sorted,500,hybrid,30,20
almost_sorted,500,hybrid,50,21
almost_sorted,1000,hybrid,5,85
almost_sorted,1000,hybrid,10,49
almost_sorted,1000,hybrid,20,43
almost_sorted,1000,hybrid,30,42
almost_sorted,1000,hybrid,50,45
almost_sorted,1500,hybrid,5,138
almost_sorted,1500,hybrid,10,82
almost_sorted,1500,hybrid,20,63
almost_sorted,1500,hybrid,30,67
almost_sorted,1500,hybrid,50,64
almost_sorted,2000,hybrid,5,190
almost_sorted,2000,hybrid,10,113
almost_sorted,2000,hybrid,20,89
almost_sorted,2000,hybrid,30,89
almost_sorted,2000,hybrid,50,88
almost_sorted,2500,hybrid,5,267
almost_sorted,2500,hybrid,10,185
almost_sorted,2500,hybrid,20,116
almost_sorted,2500,hybrid,30,126
almost_sorted,2500,hybrid,50,120
almost_sorted,3000,hybrid,5,307
almost_sorted,3000,hybrid,10,187
almost_sorted,3000,hybrid,20,142
almost_sorted,3000,hybrid,30,140
almost_sorted,3000,hybrid,50,150
almost_sorted,3500,hybrid,5,427
almost_sorted,3500,hybrid,10,249
almost_sorted,3500,hybrid,20,168
almost_sorted,3500,hybrid,30,172
almost_sorted,3500,hybrid,50,177
almost_sorted,4000,hybrid,5,447
almost_sorted,4000,hybrid,10,289
almost_sorted,4000,hybrid,20,200
almost_sorted,4000,hybrid,30,205
almost_sorted,4000,hybrid,50,191
almost_sorted,4500,hybrid,5,514
almost_sorted,4500,hybrid,10,397
almost_sorted,4500,hybrid,20,221
almost_sorted,4500,hybrid,30,225
almost_sorted,4500,hybrid,50,220
almost_sorted,5000,hybrid,5,615
almost_sorted,5000,hybrid,10,438
almost_sorted,5000,hybrid,20,252
almost_sorted,5000,hybrid,30,245
almost_sorted,5000,hybrid,50,242
almost_sorted,5500,hybrid,5,626
almost_sorted,5500,hybrid,10,414
almost_sorted,5500,hybrid,20,281
almost_sorted,5500,hybrid,30,276
almost_sorted,5500,hybrid,50,279
almost_sorted,6000,hybrid,5,764
almost_sorted,6000,hybrid,10,456
almost_sorted,6000,hybrid,20,317
almost_sorted,6000,hybrid,30,302
almost_sorted,6000,hybrid,50,320
almost_sorted,6500,hybrid,5,788
almost_sorted,6500,hybrid,10,522
almost_sorted,6500,hybrid,20,347
almost_sorted,6500,hybrid,30,336
almost_sorted,6500,hybrid,50,358
almost_sorted,7000,hybrid,5,884
almost_sorted,7000,hybrid,10,615
almost_sorted,7000,hybrid,20,357
almost_sorted,7000,hybrid,30,373
almost_sorted,7000,hybrid,50,379
almost_sorted,7500,hybrid,5,964
almost_sorted,7500,hybrid,10,633
almost_sorted,7500,hybrid,20,382
almost_sorted,7500,hybrid,30,389
almost_sorted,7500,hybrid,50,413
almost_sorted,8000,hybrid,5,1020
almost_sorted,8000,hybrid,10,729
almost_sorted,8000,hybrid,20,468
almost_sorted,8000,hybrid,30,415
almost_sorted,8000,hybrid,50,414
almost_sorted,8500,hybrid,5,1120
almost_sorted,8500,hybrid,10,787
almost_sorted,8500,hybrid,20,472
almost_sorted,8500,hybrid,30,482
almost_sorted,8500,hybrid,50,467
almost_sorted,9000,hybrid,5,1165
almost_sorted,9000,hybrid,10,840
almost_sorted,9000,hybrid,20,505
almost_sorted,9000,hybrid,30,497
almost_sorted,9000,hybrid,50,470
almost_sorted,9500,hybrid,5,1261
almost_sorted,9500,hybrid,10,808
almost_sorted,9500,hybrid,20,558
almost_sorted,9500,hybrid,30,531
almost_sorted,9500,hybrid,50,508
almost_sorted,10000,hybrid,5,1298
almost_sorted,10000,hybrid,10,1008
almost_sorted,10000,hybrid,20,584
almost_sorted,10000,hybrid,30,567
almost_sorted,10000,hybrid,50,587
