type,size,algorithm,threshold,time
reverse,6000,hybrid,10,1107
reverse,6000,hybrid,20,976
reverse,6000,hybrid,30,994
reverse,6000,hybrid,50,1080
reverse,6500,merge,0,2299
reverse,6500,hybrid,5,1445
reverse,6500,hybrid,10,1224
reverse,6500,hybrid,20,1091
reverse,6500,hybrid,30,1069
reverse,6500,hybrid,50,1107
reverse,7000,merge,0,2480
reverse,7000,hybrid,5,1530
reverse,7000,hybrid,10,1311
reverse,7000,hybrid,20,1198
reverse,7000,hybrid,30,1189
reverse,7000,hybrid,50,1170
reverse,7500,merge,0,2672
reverse,7500,hybrid,5,1624
reverse,7500,hybrid,10,1376
reverse,7500,hybrid,20,1283
reverse,7500,hybrid,30,1305
reverse,7500,hybrid,50,1275
reverse,8000,merge,0,2875
reverse,8000,hybrid,5,1716
reverse,8000,hybrid,10,1472
reverse,8000,hybrid,20,1354
reverse,8000,hybrid,30,1382
reverse,8000,hybrid,50,1351
reverse,8500,merge,0,2973
reverse,8500,hybrid,5,1727
reverse,8500,hybrid,10,1544
reverse,8500,hybrid,20,1449
reverse,8500,hybrid,30,1414
reverse,8500,hybrid,50,1498
reverse,9000,merge,0,3179
reverse,9000,hybrid,5,1890
reverse,9000,hybrid,10,1649
reverse,9000,hybrid,20,1561
reverse,9000,hybrid,30,1563
reverse,9000,hybrid,50,1634
reverse,9500,merge,0,3540
reverse,9500,hybrid,5,2036
reverse,9500,hybrid,10,1722
reverse,9500,hybrid,20,1603
reverse,9500,hybrid,30,1590
reverse,9500,hybrid,50,1712
reverse,10000,merge,0,3672
reverse,10000,hybrid,5,2110
reverse,10000,hybrid,10,1867
reverse,10000,hybrid,20,1776
reverse,10000,hybrid,30,1752
reverse,10000,hybrid,50,1824
almost_sorted,500,merge,0,151
almost_sorted,500,hybrid,5,78
almost_sorted,500,hybrid,10,60
almost_sorted,500,hybrid,20,47
almost_sorted,500,hybrid,30,46
almost_sorted,500,hybrid,50,36
almost_sorted,1000,merge,0,313
almost_sorted,1000,hybrid,5,168
almost_sorted,1000,hybrid,10,131
almost_sorted,1000,hybrid,20,106
almost_sorted,1000,hybrid,30,102
almost_sorted,1000,hybrid,50,82
almost_sorted,1500,merge,0,497
almost_sorted,1500,hybrid,5,284
almost_sorted,1500,hybrid,10,225
almost_sorted,1500,hybrid,20,179
almost_sorted,1500,hybrid,30,145
almost_sorted,1500,hybrid,50,117
almost_sorted,2000,merge,0,651
almost_sorted,2000,hybrid,5,352
almost_sorted,2000,hybrid,10,281
almost_sorted,2000,hybrid,20,229
almost_sorted,2000,hybrid,30,237
almost_sorted,2000,hybrid,50,186
almost_sorted,2500,merge,0,833
almost_sorted,2500,hybrid,5,426
almost_sorted,2500,hybrid,10,339
almost_sorted,2500,hybrid,20,282
almost_sorted,2500,hybrid,30,293
almost_sorted,2500,hybrid,50,247
almost_sorted,3000,merge,0,1022
almost_sorted,3000,hybrid,5,595
almost_sorted,3000,hybrid,10,498
almost_sorted,3000,hybrid,20,422
almost_sorted,3000,hybrid,30,342
almost_sorted,3000,hybrid,50,275
almost_sorted,3500,merge,0,1200
almost_sorted,3500,hybrid,5,688
almost_sorted,3500,hybrid,10,595
almost_sorted,3500,hybrid,20,448
almost_sorted,3500,hybrid,30,375
almost_sorted,3500,hybrid,50,382
almost_sorted,4000,merge,0,1388
almost_sorted,4000,hybrid,5,751
almost_sorted,4000,hybrid,10,653
almost_sorted,4000,hybrid,20,511
almost_sorted,4000,hybrid,30,517
almost_sorted,4000,hybrid,50,426
almost_sorted,4500,merge,0,1569
almost_sorted,4500,hybrid,5,852
almost_sorted,4500,hybrid,10,703
almost_sorted,4500,hybrid,20,563
almost_sorted,4500,hybrid,30,585
almost_sorted,4500,hybrid,50,507
almost_sorted,5000,merge,0,1746
almost_sorted,5000,hybrid,5,939
almost_sorted,5000,hybrid,10,745
almost_sorted,5000,hybrid,20,656
almost_sorted,5000,hybrid,30,613
almost_sorted,5000,hybrid,50,534
almost_sorted,5500,merge,0,1950
almost_sorted,5500,hybrid,5,1129
almost_sorted,5500,hybrid,10,952
almost_sorted,5500,hybrid,20,833
almost_sorted,5500,hybrid,30,679
almost_sorted,5500,hybrid,50,611
almost_sorted,6000,merge,0,2149
almost_sorted,6000,hybrid,5,1276
almost_sorted,6000,hybrid,10,1107
almost_sorted,6000,hybrid,20,867
almost_sorted,6000,hybrid,30,777
almost_sorted,6000,hybrid,50,620
almost_sorted,6500,merge,0,2327
almost_sorted,6500,hybrid,5,1447
almost_sorted,6500,hybrid,10,1140
almost_sorted,6500,hybrid,20,968
almost_sorted,6500,hybrid,30,792
almost_sorted,6500,hybrid,50,794
almost_sorted,7000,merge,0,2501
almost_sorted,7000,hybrid,5,1482
almost_sorted,7000,hybrid,10,1227
almost_sorted,7000,hybrid,20,1042
almost_sorted,7000,hybrid,30,844
almost_sorted,7000,hybrid,50,895
almost_sorted,7500,merge,0,2704
almost_sorted,7500,hybrid,5,1584
almost_sorted,7500,hybrid,10,1280
almost_sorted,7500,hybrid,20,1085
almost_sorted,7500,hybrid,30,929
almost_sorted,7500,hybrid,50,924
almost_sorted,8000,merge,0,2839
almost_sorted,8000,hybrid,5,1673
almost_sorted,8000,hybrid,10,1386
almost_sorted,8000,hybrid,20,1159
almost_sorted,8000,hybrid,30,1136
almost_sorted,8000,hybrid,50,1010
almost_sorted,8500,merge,0,3042
almost_sorted,8500,hybrid,5,1756
almost_sorted,8500,hybrid,10,1468
almost_sorted,8500,hybrid,20,1200
almost_sorted,8500,hybrid,30,1231
almost_sorted,8500,hybrid,50,1065
almost_sorted,9000,merge,0,3234
almost_sorted,9000,hybrid,5,1834
almost_sorted,9000,hybrid,10,1516
almost_sorted,9000,hybrid,20,1292
almost_sorted,9000,hybrid,30,1293
almost_sorted,9000,hybrid,50,1101
almost_sorted,9500,merge,0,3453
almost_sorted,9500,hybrid,5,1924
almost_sorted,9500,hybrid,10,1594
almost_sorted,9500,hybrid,20,1373
almost_sorted,9500,hybrid,30,1357
almost_sorted,9500,hybrid,50,1141
almost_sorted,10000,merge,0,3683
almost_sorted,10000,hybrid,5,2014
almost_sorted,10000,hybrid,10,1676
almost_sorted,10000,hybrid,20,1439
almost_sorted,10000,hybrid,30,1406
almost_sorted,10000,hybrid,50,1209
