pct,exact,est,err
10,10000,10357.5,3.57541
20,20000,20084.6,0.423095
30,30000,30635.3,2.11781
40,40000,40576.4,1.44089
50,50000,51543.7,3.08742
60,50000,51543.7,3.08742
70,50000,51543.7,3.08742
80,50000,51543.7,3.08742
90,50000,51543.7,3.08742
100,50000,51543.7,3.08742
